 time            v(src)          v(A)            v(ZN)           v(load)         psupply        
 0.00000000e+00  0.00000000e+00  1.81137274e-05  1.09997009e+00  1.09997009e+00  6.70833422e-08 
 2.00000000e-15  0.00000000e+00  1.81137274e-05  1.09997009e+00  1.09997009e+00  6.70833354e-08 
 4.00000000e-15  0.00000000e+00  1.81137274e-05  1.09997009e+00  1.09997009e+00  6.70833345e-08 
 8.00000000e-15  0.00000000e+00  1.81137274e-05  1.09997009e+00  1.09997009e+00  6.70833343e-08 
 1.60000000e-14  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833350e-08 
 3.20000000e-14  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833347e-08 
 6.40000000e-14  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833350e-08 
 1.28000000e-13  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833350e-08 
 2.56000000e-13  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833357e-08 
 4.56000000e-13  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833359e-08 
 6.56000000e-13  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833363e-08 
 8.56000000e-13  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833365e-08 
 1.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833368e-08 
 1.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833367e-08 
 1.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833371e-08 
 1.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833370e-08 
 1.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833373e-08 
 2.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833373e-08 
 2.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833374e-08 
 2.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833375e-08 
 2.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833376e-08 
