DIE	0	0	76090	76090
ROW	2280	2800	73720	5600	380
ROW	2280	5600	73720	8400	380
ROW	2280	8400	73720	11200	380
ROW	2280	11200	73720	14000	380
ROW	2280	14000	73720	16800	380
ROW	2280	16800	73720	19600	380
ROW	2280	19600	73720	22400	380
ROW	2280	22400	73720	25200	380
ROW	2280	25200	73720	28000	380
ROW	2280	28000	73720	30800	380
ROW	2280	30800	73720	33600	380
ROW	2280	33600	73720	36400	380
ROW	2280	36400	73720	39200	380
ROW	2280	39200	73720	42000	380
ROW	2280	42000	73720	44800	380
ROW	2280	44800	73720	47600	380
ROW	2280	47600	73720	50400	380
ROW	2280	50400	73720	53200	380
ROW	2280	53200	73720	56000	380
ROW	2280	56000	73720	58800	380
ROW	2280	58800	73720	61600	380
ROW	2280	61600	73720	64400	380
ROW	2280	64400	73720	67200	380
ROW	2280	67200	73720	70000	380
ROW	2280	70000	73720	72800	380
